id,name,artist,songwriters,duration,genres,album,created_at,updated_at
79252,front,James King,Sharon Cross,50:01,improve,just,2024-01-19T21:09:01,2024-04-15T14:17:08
24328,produce,Terri Morales,David Holloway,21:02,action,deal,2024-03-31T14:40:48,2024-06-08T19:29:08
50976,past,Kimberly Austin,Gloria Padilla,31:19,knowledge,north,2023-09-28T19:42:59,2024-08-23T00:07:46
90018,white,Jessica Webster,Jennifer Reyes,38:40,long,stay,2024-08-11T09:16:34,2024-03-19T16:17:56
50216,century,Leslie Watson,John Nelson,25:32,meeting,may,2023-12-14T05:12:35,2024-04-28T00:08:38
88132,couple,Robert Mueller,Mark Brown,15:02,under,attack,2023-07-12T08:04:58,2024-09-06T00:30:09
19174,us,Adriana Hudson,Jessica Oliver,59:43,main,social,2024-06-14T15:09:56,2024-06-09T23:16:14
89910,success,William Hudson,James Stout,40:37,safe,data,2024-02-25T09:49:32,2024-02-09T08:58:16
49145,assume,Angela Robertson,Tamara Becker,31:05,four,particular,2024-03-18T10:37:48,2024-10-28T18:41:27
13114,information,Joshua Lopez,John Cohen,52:15,answer,help,2023-08-08T07:04:45,2024-09-30T05:17:57
68126,but,David Cisneros,Mark Rodriguez,59:11,religious,mouth,2023-04-10T22:16:12,2024-04-29T03:59:50
69111,consumer,Robert Thomas,Kimberly Bradley,01:38,a,security,2023-08-27T16:48:15,2024-07-21T01:11:21
55811,give,Jason Gordon,Stephanie Snow,57:26,through,evening,2023-10-10T15:03:23,2024-02-09T22:06:45
6153,it,Carol Warner,Sean Lee,52:09,opportunity,subject,2023-08-15T10:03:04,2024-07-05T20:59:04
19245,either,Jennifer Palmer,Robin Thomas,40:15,decision,which,2024-06-02T12:26:35,2024-02-01T13:06:33
81476,low,Shawn Garcia,David Hall,13:42,recognize,even,2023-10-27T00:49:34,2024-11-20T06:35:40
15695,simple,Zachary White,Mary Bradley,43:16,word,phone,2024-03-08T02:24:55,2024-02-15T14:58:11
12827,religious,Julie Fleming,Leonard Hunt,12:36,opportunity,per,2023-06-07T19:51:48,2024-10-22T22:20:47
5492,later,Nancy Gibson,Kyle Baker,59:13,establish,fear,2024-02-20T21:49:47,2024-04-19T06:13:16
20760,type,Jesus Mullins,Patrick Sanchez,06:25,management,every,2024-01-06T20:04:59,2024-09-05T07:39:58
57932,southern,Garrett Montgomery,Brett Brown,48:38,drug,any,2023-01-28T00:46:23,2024-11-04T02:15:15
48206,plant,Stephen Coleman,Julian Whitaker,30:48,all,book,2024-11-11T20:10:38,2024-12-08T23:53:15
63904,medical,Robert Padilla,Katie Gomez,59:26,these,not,2023-03-20T16:57:35,2024-07-27T19:38:41
43720,city,Ashley Adams,Valerie Perez,04:58,and,church,2024-08-29T06:13:18,2024-06-06T11:23:10
97863,firm,Kathleen Elliott,John Pratt,41:51,that,return,2024-07-29T12:55:37,2024-05-01T17:54:33
2486,sell,Cindy Larson,Michael Cohen,40:57,fast,movement,2023-09-13T14:12:22,2024-12-28T23:44:10
13968,own,Deborah Mays,Jennifer Estes,36:41,of,I,2024-07-02T10:47:00,2025-01-08T10:12:06
12367,than,David Morse,Katherine Shaw,29:14,day,including,2023-02-06T07:28:45,2024-06-25T23:12:39
8148,somebody,Matthew Matthews,Justin King,00:33,per,sing,2024-09-29T17:19:35,2024-04-10T23:39:19
58296,large,Stephanie Arnold,Eileen Robinson,42:42,sense,attack,2023-01-29T22:09:32,2024-12-09T12:00:50
73565,visit,Elizabeth Nguyen,Kyle Miller,54:37,produce,method,2023-10-11T08:58:27,2024-06-30T18:11:11
14991,however,Julia Gutierrez,Andrew Adams,37:51,watch,expert,2024-07-02T13:07:21,2024-03-11T15:28:24
18947,than,Gloria Martin,Samuel Thompson,14:07,pull,truth,2023-06-05T08:41:28,2024-10-27T16:30:43
78048,road,Heather Hall,Lisa Jones,39:59,good,activity,2024-02-26T09:27:36,2024-02-15T07:20:45
53505,go,Julian Mcdonald,Heather Banks,19:01,street,each,2024-03-20T20:51:27,2024-08-25T19:53:54
90358,green,Steven Cuevas,Todd Snyder,14:29,choice,make,2024-12-28T23:00:16,2024-12-04T17:19:49
53270,what,Timothy Jackson,Michelle Johnson,49:32,at,of,2023-02-02T08:44:04,2024-08-10T13:56:31
68608,dark,Mark White,Nathaniel Ramirez,11:59,news,sell,2025-01-13T09:03:34,2024-08-25T14:36:33
99112,show,Melissa Obrien,Matthew Lindsey,42:45,challenge,safe,2024-09-01T22:39:04,2024-11-24T00:07:07
42637,ask,Sara Crawford,Tyler Horn,12:09,imagine,clear,2024-11-18T14:10:21,2024-03-14T00:13:02
73344,suggest,Audrey Nelson,Roy Burke,18:42,require,impact,2023-11-25T15:38:38,2024-07-10T09:19:28
12233,such,Brent Fisher,Mark Sanders,30:43,lawyer,middle,2024-03-26T09:59:30,2024-10-24T05:59:11
22837,coach,Benjamin Howe,Todd Collier,16:58,prove,fear,2024-12-25T02:10:07,2024-02-04T10:06:33
62445,high,Kim Ruiz,Kelly Martin,33:54,effect,increase,2023-03-24T12:04:58,2025-01-13T13:28:36
54927,central,Debra Massey,Cristina Nolan,28:37,pass,popular,2024-05-11T12:53:27,2024-11-21T21:13:37
10872,left,Jennifer Swanson,Janice Lawrence,48:38,person,education,2023-03-12T10:13:52,2024-03-28T09:47:44
5266,factor,Manuel Williams,Jacqueline Donovan,33:56,single,however,2024-11-19T09:28:26,2024-07-06T23:07:47
12689,offer,Jose Baker,Angela Moore,51:09,run,degree,2023-10-25T04:14:20,2024-04-21T03:40:03
27678,ground,Gabriel Henderson,Troy Potts,09:29,leg,poor,2023-12-22T05:22:01,2024-03-17T05:30:21
59603,produce,Christopher Davis,Megan Roman,47:58,price,available,2024-09-01T06:04:11,2024-05-12T20:36:32
52232,floor,Julie Hobbs,Benjamin Spears,32:49,throughout,yet,2024-06-01T15:15:57,2024-12-10T02:14:07
48719,throughout,Mary Harrington,Jesse Rose,12:11,adult,instead,2024-02-06T21:26:50,2024-02-27T10:26:30
17569,may,Kimberly Cruz,Kimberly Gonzalez,11:04,live,animal,2024-02-05T00:04:28,2024-11-26T11:06:03
20158,indeed,Cynthia Willis,Nancy White,23:06,note,theory,2024-11-19T22:07:27,2024-06-12T07:46:12
26674,always,Angela Bowman,Megan Walker,12:39,pass,not,2023-06-09T20:56:51,2024-07-23T02:56:37
50189,also,Lori Fletcher,Philip Boyle,48:32,even,poor,2024-03-18T09:13:40,2024-12-27T04:51:05
95052,high,Jodi Guerrero,Kimberly Watson,13:56,dog,eat,2024-05-19T20:24:38,2024-02-12T04:48:33
29799,base,Paul Perez,Lisa Ferguson,35:45,without,listen,2024-03-30T04:52:03,2024-02-03T00:24:01
73566,garden,Christina Mejia,Megan Ellis,50:39,down,kid,2024-08-09T00:09:00,2024-11-16T15:20:45
91936,arm,Dennis Meza,Meghan Alvarez,49:13,answer,wear,2024-05-01T00:56:11,2024-06-18T17:07:45
44771,church,Robert Green,Brian Clark,35:35,employee,age,2023-08-31T16:49:29,2024-01-28T14:12:01
75476,movement,Alexandra Ramirez,Ryan Thomas,32:28,audience,several,2024-07-30T00:36:22,2024-01-28T17:33:09
56410,listen,Justin Brooks,Gregory Cole,42:45,others,from,2023-03-07T14:34:00,2024-12-07T14:12:11
46475,environment,Christine Peters DDS,Jennifer Parker,10:59,policy,father,2024-04-25T08:05:19,2024-06-06T02:17:30
31282,owner,Travis Richards,Jonathan Nichols,44:20,task,rather,2024-01-23T21:39:02,2025-01-12T11:44:53
81136,list,Katrina Williams,Vickie Nielsen,20:53,forward,water,2023-10-21T14:52:24,2024-10-19T17:55:20
29985,project,Tracy Black,Christopher Jenkins Jr.,24:35,management,rest,2023-08-28T23:39:56,2025-01-13T15:01:19
75239,this,Alexis Bond,Vickie Haley,54:30,local,whom,2024-03-19T06:49:00,2024-12-17T16:20:12
