user_id,items,created_at,updated_at
17257,"[34530, 40475, 40619, 18870, 74789]",2023-01-22T17:31:40,2023-12-03T02:22:41
77738,"[62754, 22209, 41291, 12030, 57376]",2023-09-23T01:48:36,2024-09-11T22:34:52
3949,"[57144, 43219, 43302, 95001, 51792]",2024-04-29T04:52:07,2024-07-22T09:37:50
83281,"[91907, 96943, 38110, 3720, 25237]",2023-10-21T04:22:31,2024-03-24T17:55:19
91342,"[71187, 6153, 7531, 66409, 83982]",2024-04-24T11:41:16,2024-12-22T07:04:58
59234,"[34851, 6539, 46165, 98677, 47328]",2023-12-07T18:28:18,2023-12-25T05:03:29
48296,"[27572, 56842, 89170, 3720, 30688]",2023-06-29T16:17:48,2024-04-15T11:37:27
12540,"[84917, 2302, 46162, 96199, 14630]",2023-11-22T06:08:12,2024-02-18T20:44:39
83291,"[66311, 7469, 79257, 10872, 60953]",2024-03-07T02:01:27,2024-03-21T07:57:35
65596,"[77308, 81289, 5395, 34166, 96098]",2023-06-22T09:42:46,2024-05-16T05:19:58
90385,"[34166, 4700, 8754, 87259, 9286]",2023-11-10T20:31:49,2023-12-27T13:05:26
72438,"[58078, 77308, 42389, 20767, 13979]",2024-01-04T21:30:05,2024-03-17T07:33:45
59968,"[56842, 53459, 17379, 91026, 93730]",2023-09-24T00:52:07,2024-04-27T20:29:40
84288,"[13572, 34530, 80919, 14924, 20515]",2023-12-17T11:04:27,2024-04-17T03:15:18
91833,"[34544, 85468, 76654, 2200, 73566]",2024-07-12T00:40:07,2025-01-16T16:35:01
15158,"[74992, 24888, 81136, 86937, 26746]",2024-09-16T18:36:29,2025-01-07T14:05:24
30150,"[43770, 18760, 70523, 22837, 23075]",2024-12-03T05:45:48,2025-01-08T17:53:11
18282,"[88299, 80736, 65739, 41291, 27824]",2023-11-26T09:48:02,2024-04-18T08:04:01
52678,"[630, 97689, 97573, 60085, 12827]",2023-11-03T23:43:06,2023-12-16T12:55:03
38398,"[26460, 70726, 36882, 52425, 88199]",2024-02-13T06:49:01,2024-05-27T05:07:31
80140,"[83724, 84440, 48589, 12288, 63334]",2023-02-27T19:28:33,2024-01-09T05:46:50
47501,"[46454, 27748, 85714, 97385, 79720]",2023-11-01T20:39:55,2024-07-15T06:48:18
2788,"[99336, 65558, 75108, 31085, 33146]",2023-10-19T20:11:13,2023-11-10T15:31:57
25451,"[69452, 54566, 18584, 76916, 92656]",2023-05-14T12:07:30,2024-10-30T23:41:23
9944,"[62190, 56917, 60346, 28034, 94788]",2023-09-04T15:25:31,2024-10-29T00:08:54
88735,"[89377, 83827, 3154, 2575, 95534]",2024-07-18T16:04:36,2024-10-20T01:28:10
99437,"[97689, 43983, 20479, 75982, 68126]",2024-12-02T03:33:21,2025-01-20T14:52:32
2700,"[46853, 11298, 74992, 65259, 30212]",2024-11-06T02:06:32,2024-11-10T15:27:57
70399,"[37968, 75156, 95895, 85985, 85468]",2023-05-23T22:09:18,2023-05-24T08:53:38
26917,"[20158, 70813, 56661, 8341, 47164]",2024-05-29T00:58:25,2024-08-23T14:05:42
26932,"[50645, 6984, 20620, 43983, 30159]",2023-02-06T10:49:32,2024-08-29T16:32:37
69241,"[99715, 65681, 81488, 45308, 82536]",2023-12-27T06:01:44,2024-07-13T05:56:22
3476,"[4677, 88388, 25237, 58677, 7348]",2023-02-27T10:57:40,2023-10-11T21:11:48
91318,"[4944, 75183, 24808, 69132, 58898]",2023-11-30T09:16:31,2024-09-30T10:17:25
83581,"[57294, 70102, 43368, 3154, 53894]",2024-10-04T00:08:29,2024-11-25T02:40:47
25742,"[39903, 70788, 51144, 67862, 24101]",2024-07-08T14:43:16,2024-10-17T06:00:11
24050,"[80506, 25810, 54308, 53204, 90018]",2023-09-03T13:50:15,2024-07-19T20:14:49
58058,"[84472, 26746, 82536, 44737, 31083]",2023-08-25T21:39:37,2024-02-20T21:01:28
59870,"[88490, 13112, 43121, 69452, 67351]",2024-08-02T00:58:24,2024-09-27T16:29:48
68352,"[41034, 65558, 73638, 99621, 7227]",2024-12-18T11:23:44,2025-01-21T12:52:40
89634,"[23107, 76789, 19417, 51721, 21874]",2023-11-22T17:02:58,2024-04-11T15:52:55
59563,"[13694, 89377, 31356, 46116, 52704]",2023-12-29T23:33:09,2024-08-01T13:04:19
67051,"[6669, 66929, 49414, 62121, 16347]",2025-01-05T10:42:07,2025-01-10T18:03:32
28060,"[74789, 34733, 12233, 24808, 6821]",2025-01-04T12:58:51,2025-01-06T04:45:59
60843,"[48920, 60085, 69699, 38889, 98712]",2023-12-01T20:19:03,2024-09-09T07:11:20
74231,"[66315, 22577, 23014, 6915, 48698]",2023-01-29T04:52:27,2023-02-13T21:14:00
31989,"[13114, 48716, 90964, 12497, 39464]",2024-06-30T06:51:11,2024-09-02T15:52:54
38224,"[63282, 25861, 90417, 87852, 3720]",2024-04-22T10:52:28,2024-11-05T23:52:11
30210,"[26, 40475, 36882, 21746, 97863]",2023-06-26T13:36:41,2024-11-12T14:56:25
80434,"[43290, 91660, 62190, 51367, 67588]",2024-07-09T21:29:20,2024-09-24T04:40:24
26222,"[79500, 48533, 54927, 93596, 94374]",2023-09-27T14:52:10,2024-07-10T19:03:35
68041,"[95895, 4531, 24101, 83764, 56857]",2024-08-01T19:20:41,2025-01-03T01:58:44
63274,"[95562, 39361, 81495, 57305, 68809]",2023-02-08T12:10:44,2023-11-01T07:33:14
